Id,Prediction
0,0
1,0
2,0
3,1
4,1
5,0
6,1
7,1
8,0
9,0
10,0
11,1
12,1
13,0
14,1
15,1
16,1
17,0
18,1
19,1
20,0
21,1
22,1
23,1
24,1
25,0
26,1
27,0
28,1
29,0
30,1
31,0
32,0
33,0
34,1
35,0
36,1
37,0
38,1
39,1
40,1
41,0
42,0
43,1
44,1
45,1
46,0
47,1
48,0
49,1
50,0
51,0
52,1
53,1
54,1
55,0
56,0
57,1
58,0
59,1
60,1
61,1
62,0
63,1
64,0
65,1
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,1
75,1
76,1
77,1
78,1
79,1
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,1
88,0
89,0
90,1
91,0
92,0
93,0
94,1
95,1
96,1
97,1
98,0
99,0
100,0
101,0
102,0
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,0
111,1
112,0
113,0
114,1
115,0
116,0
117,1
118,0
119,1
120,0
121,1
122,0
123,0
124,1
125,0
126,0
127,1
128,0
129,1
130,0
131,0
132,1
133,1
134,0
135,0
136,0
137,0
138,0
139,1
140,1
141,1
142,0
143,0
144,1
145,1
146,0
147,1
148,0
149,0
150,0
151,1
152,0
153,1
154,0
155,1
156,1
157,0
158,1
159,1
160,0
161,0
162,0
163,1
164,0
165,1
166,1
167,1
168,1
169,0
170,0
171,1
172,0
173,0
174,0
175,0
176,1
177,0
178,0
179,0
180,1
181,0
182,0
183,1
184,1
185,1
186,0
187,1
188,0
189,0
190,1
191,0
192,1
193,1
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,1
202,1
203,1
204,1
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,1
216,1
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,1
226,0
227,1
228,0
229,1
230,0
231,1
232,0
233,0
234,0
235,0
236,1
237,1
238,0
239,0
240,0
241,0
242,0
243,1
244,0
245,0
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,0
255,0
256,0
257,0
258,0
259,0
260,1
261,0
262,1
263,0
264,1
265,0
266,1
267,0
268,0
269,0
270,0
271,1
272,0
273,1
274,1
275,1
276,1
277,0
278,0
279,0
280,1
281,0
282,1
283,0
284,0
285,0
286,0
287,0
288,0
289,1
290,0
291,0
292,0
293,0
294,0
295,1
296,0
297,0
298,0
299,0
300,1
301,1
302,0
303,1
304,0
305,0
306,1
307,1
308,1
309,1
310,1
311,0
312,1
313,1
314,1
315,1
316,1
317,0
318,1
319,1
